,ContrastType,effect,p_value,stat,z_score,Source,Detector,Chroma,Significant,ch_name,Condition
100,t,1.4456207475454896e-05,0.051313201775739364,1.6353993966951808,1.6322520327213312,1,1,hbr,False,S1_D1 hbr,Neutral
101,t,7.2451209737559964e-06,0.39535499202297264,0.2655380254512642,0.2653887729812066,1,2,hbr,False,S1_D2 hbr,Neutral
102,t,1.3457853682848336e-05,0.2585015633439589,0.6484554244689799,0.6479718974952766,2,1,hbr,False,S2_D1 hbr,Neutral
103,t,1.4328318604852948e-05,0.06856234452737778,1.4890946140727463,1.4865841027283704,2,3,hbr,False,S2_D3 hbr,Neutral
104,t,7.905093977300498e-06,0.3354701470129908,0.42512139753457234,0.42485786218445787,3,2,hbr,False,S3_D2 hbr,Neutral
105,t,1.790663728333384e-05,0.25703079863920847,0.6530154375930752,0.6525264783516679,3,3,hbr,False,S3_D3 hbr,Neutral
106,t,1.2360366329551319e-05,0.1078783127181346,1.2395392728931374,1.2378906075753653,3,4,hbr,False,S3_D4 hbr,Neutral
107,t,4.323119889622556e-05,0.09308644813622935,1.3238963087896662,1.3219857495235903,4,2,hbr,False,S4_D2 hbr,Neutral
108,t,1.1200989377791314e-05,0.242314415941143,0.699423837365873,0.6988771127645684,4,4,hbr,False,S4_D4 hbr,Neutral
109,t,1.221228392069849e-05,0.23373377890344033,0.7271891919173253,0.7266056635290711,4,5,hbr,False,S4_D5 hbr,Neutral
110,t,1.3836311247349492e-05,0.18188234017435045,0.9090862055109925,0.9082149246791074,5,3,hbr,False,S5_D3 hbr,Neutral
111,t,1.616898763565476e-05,0.22121226693761858,0.7687473869071118,0.7681054591632069,5,4,hbr,False,S5_D4 hbr,Neutral
112,t,4.058039772907681e-05,0.021740597684567434,2.0244554087650863,2.0190579629859813,5,6,hbr,True,S5_D6 hbr,Neutral
113,t,2.2797172458224793e-05,0.0031426018529627947,2.7447205101309073,2.7325190479284043,6,4,hbr,True,S6_D4 hbr,Neutral
114,t,8.580260179613347e-06,0.2319561426202288,0.7330114179369965,0.7324199507999127,6,5,hbr,False,S6_D5 hbr,Neutral
115,t,1.5178431573340673e-05,0.1762480781801405,0.930669789604853,0.9297584642304192,6,6,hbr,False,S6_D6 hbr,Neutral
116,t,-1.0402863888927624e-05,0.6014969343991134,-0.2573677290300626,-0.2572236458860769,7,5,hbr,False,S7_D5 hbr,Neutral
117,t,2.4183809287355363e-05,0.23180262799156054,0.7335153845207464,0.7329232265494863,7,7,hbr,False,S7_D7 hbr,Neutral
118,t,1.2662698129287324e-05,0.1277613064999044,1.1384084226679019,1.1370374915340187,8,6,hbr,False,S8_D6 hbr,Neutral
119,t,2.472047140434029e-05,0.10211204067924026,1.2713526981341428,1.269608608782065,8,7,hbr,False,S8_D7 hbr,Neutral
