,ContrastType,effect,p_value,stat,z_score,Source,Detector,Chroma,Significant,ch_name,Condition
21,t,-1.5205392834145104e-05,0.6836435551757143,-0.47821594264842743,-0.4779119303246111,1,2,hbr,False,S1_D2 hbr,Inflammatory
22,t,1.001117886356801e-05,0.25651359419889963,0.6546151100091582,0.6541313453425199,2,1,hbr,False,S2_D1 hbr,Inflammatory
23,t,-2.9587689834572247e-05,0.7356299707717444,-0.6303862144287535,-0.6299304973316476,2,3,hbr,False,S2_D3 hbr,Inflammatory
24,t,6.293355626874894e-06,0.2946846848687901,0.5401110793635371,0.5397501208168174,3,2,hbr,False,S3_D2 hbr,Inflammatory
25,t,-9.36837827813098e-06,0.583012598066621,-0.2097197960682151,-0.20960650282861912,3,3,hbr,False,S3_D3 hbr,Inflammatory
26,t,-1.9191689889145018e-05,0.8422509206554274,-1.004796086634458,-1.0037520149190002,3,4,hbr,False,S3_D4 hbr,Inflammatory
27,t,-4.6766131686551995e-05,0.7457602065597153,-0.661699166186336,-0.6612069779527135,4,2,hbr,False,S4_D2 hbr,Inflammatory
28,t,-1.559465846847927e-05,0.7573206677635749,-0.6982471597491807,-0.6977098538675781,4,4,hbr,False,S4_D4 hbr,Inflammatory
29,t,-3.0482219019070123e-05,0.7340484965818579,-0.6255539509492606,-0.625103689153861,4,5,hbr,False,S4_D5 hbr,Inflammatory
30,t,-3.8654880982884815e-05,0.9651779361774789,-1.8182569565045001,-1.814218275374635,5,3,hbr,False,S5_D3 hbr,Inflammatory
31,t,-4.543589849985466e-06,0.5731858219674073,-0.18458968350796393,-0.18449091187395258,5,4,hbr,False,S5_D4 hbr,Inflammatory
32,t,-2.1857903956547803e-05,0.7603516603591056,-0.7079840241633283,-0.7074342171601765,5,6,hbr,False,S5_D6 hbr,Inflammatory
33,t,-1.0747812723090806e-05,0.6680993845150296,-0.4349386413957524,-0.4346710277206305,6,4,hbr,False,S6_D4 hbr,Inflammatory
34,t,-1.9568050441062524e-06,0.5402740236414124,-0.10117698405630217,-0.10112409289070874,6,5,hbr,False,S6_D5 hbr,Inflammatory
35,t,1.0616872105810099e-06,0.4875444268565219,0.031242748678159814,0.031226565905164396,6,6,hbr,False,S6_D6 hbr,Inflammatory
36,t,5.562231705197675e-06,0.33237339268480126,0.4336354651227822,0.43336890705213593,7,5,hbr,False,S7_D5 hbr,Inflammatory
37,t,1.484874333142401e-05,0.09666711597300583,1.3025937194783794,1.3007786499073473,7,7,hbr,False,S7_D7 hbr,Inflammatory
